Category: All categories

Week,bitcoin: (Worldwide)
2019-07-21,17
2019-07-28,16
2019-08-04,18
2019-08-11,17
2019-08-18,15
2019-08-25,15
2019-09-01,14
2019-09-08,12
2019-09-15,12
2019-09-22,16
2019-09-29,13
2019-10-06,12
2019-10-13,11
2019-10-20,14
2019-10-27,13
2019-11-03,12
2019-11-10,11
2019-11-17,13
2019-11-24,13
2019-12-01,11
2019-12-08,10
2019-12-15,12
2019-12-22,11
2019-12-29,11
2020-01-05,14
2020-01-12,14
2020-01-19,13
2020-01-26,13
2020-02-02,13
2020-02-09,16
2020-02-16,14
2020-02-23,14
2020-03-01,13
2020-03-08,27
2020-03-15,25
2020-03-22,19
2020-03-29,17
2020-04-05,17
2020-04-12,16
2020-04-19,16
2020-04-26,20
2020-05-03,22
2020-05-10,26
2020-05-17,19
2020-05-24,17
2020-05-31,16
2020-06-07,14
2020-06-14,14
2020-06-21,13
2020-06-28,13
2020-07-05,12
2020-07-12,15
2020-07-19,13
2020-07-26,20
2020-08-02,19
2020-08-09,17
2020-08-16,17
2020-08-23,14
2020-08-30,15
2020-09-06,14
2020-09-13,13
2020-09-20,12
2020-09-27,11
2020-10-04,11
2020-10-11,12
2020-10-18,17
2020-10-25,18
2020-11-01,19
2020-11-08,19
2020-11-15,27
2020-11-22,30
2020-11-29,27
2020-12-06,21
2020-12-13,36
2020-12-20,35
2020-12-27,52
2021-01-03,89
2021-01-10,84
2021-01-17,55
2021-01-24,49
2021-01-31,45
2021-02-07,79
2021-02-14,75
2021-02-21,82
2021-02-28,55
2021-03-07,52
2021-03-14,54
2021-03-21,47
2021-03-28,45
2021-04-04,42
2021-04-11,52
2021-04-18,71
2021-04-25,51
2021-05-02,44
2021-05-09,60
2021-05-16,100
2021-05-23,69
2021-05-30,49
2021-06-06,54
2021-06-13,41
2021-06-20,51
2021-06-27,36
2021-07-04,29
2021-07-11,30
2021-07-18,35
2021-07-25,39
2021-08-01,31
2021-08-08,36
2021-08-15,33
2021-08-22,33
2021-08-29,28
2021-09-05,39
2021-09-12,28
2021-09-19,33
2021-09-26,29
2021-10-03,34
2021-10-10,37
2021-10-17,47
2021-10-24,37
2021-10-31,32
2021-11-07,37
2021-11-14,38
2021-11-21,35
2021-11-28,38
2021-12-05,43
2021-12-12,37
2021-12-19,32
2021-12-26,31
2022-01-02,41
2022-01-09,38
2022-01-16,41
2022-01-23,53
2022-01-30,40
2022-02-06,39
2022-02-13,32
2022-02-20,40
2022-02-27,36
2022-03-06,32
2022-03-13,28
2022-03-20,28
2022-03-27,31
2022-04-03,26
2022-04-10,26
2022-04-17,23
2022-04-24,24
2022-05-01,25
2022-05-08,56
2022-05-15,38
2022-05-22,30
2022-05-29,26
2022-06-05,25
2022-06-12,67
2022-06-19,51
2022-06-26,37
2022-07-03,35
2022-07-10,31
2022-07-17,31
2022-07-24,27
2022-07-31,24
2022-08-07,23
2022-08-14,24
2022-08-21,22
2022-08-28,22
2022-09-04,22
2022-09-11,22
2022-09-18,24
2022-09-25,20
2022-10-02,19
2022-10-09,18
2022-10-16,17
2022-10-23,18
2022-10-30,16
2022-11-06,35
2022-11-13,31
2022-11-20,23
2022-11-27,21
2022-12-04,19
2022-12-11,20
2022-12-18,18
2022-12-25,18
2023-01-01,19
2023-01-08,20
2023-01-15,24
2023-01-22,22
2023-01-29,22
2023-02-05,19
2023-02-12,21
2023-02-19,19
2023-02-26,18
2023-03-05,19
2023-03-12,27
2023-03-19,27
2023-03-26,23
2023-04-02,21
2023-04-09,25
2023-04-16,22
2023-04-23,21
2023-04-30,19
2023-05-07,20
2023-05-14,16
2023-05-21,17
2023-05-28,17
2023-06-04,18
2023-06-11,19
2023-06-18,22
2023-06-25,20
2023-07-02,20
2023-07-09,20
2023-07-16,19
2023-07-23,18
2023-07-30,17
2023-08-06,17
2023-08-13,21
2023-08-20,20
2023-08-27,18
2023-09-03,16
2023-09-10,16
2023-09-17,16
2023-09-24,16
2023-10-01,17
2023-10-08,16
2023-10-15,19
2023-10-22,26
2023-10-29,22
2023-11-05,23
2023-11-12,23
2023-11-19,21
2023-11-26,20
2023-12-03,31
2023-12-10,25
2023-12-17,24
2023-12-24,23
2023-12-31,30
2024-01-07,44
2024-01-14,25
2024-01-21,23
2024-01-28,20
2024-02-04,21
2024-02-11,30
2024-02-18,23
2024-02-25,42
2024-03-03,53
2024-03-10,47
2024-03-17,39
2024-03-24,33
2024-03-31,30
2024-04-07,32
2024-04-14,43
2024-04-21,27
2024-04-28,27
2024-05-05,22
2024-05-12,22
2024-05-19,24
2024-05-26,19
2024-06-02,21
2024-06-09,20
2024-06-16,18
2024-06-23,19
2024-06-30,22
2024-07-07,21
2024-07-14,22
2024-07-21,24
